comment,label
Mabilis at maayos ang serbisyo.,positive
Very accommodating ang staff at malinaw ang instructions.,positive
Excellent service and very responsive personnel.,positive
Magalang at helpful ang mga empleyado.,positive
Nakuha ko agad ang kailangan ko at walang abala.,positive
Malinis ang facility at organized ang proseso.,positive
Thank you sa mabilis na assistance.,positive
The staff explained everything clearly and politely.,positive
Satisfied ako sa quality ng serbisyo.,positive
Maikli lang ang waiting time at maayos ang queue.,positive
Friendly and professional ang personnel.,positive
Napakaganda ng naging experience ko sa office.,positive
Complete at accurate ang dokumentong natanggap ko.,positive
The transaction was smooth and convenient.,positive
Mabilis akong naasikaso kahit maraming tao.,positive
Courteous ang staff and they answered my questions.,positive
Highly satisfied ako sa overall service.,positive
Maayos ang sistema at madaling sundan ang steps.,positive
Prompt ang response at malinaw ang guidance.,positive
"Very good service, salamat sa tulong.",positive
Efficient ang processing at mabait ang staff.,positive
I received reliable and complete assistance.,positive
Maganda ang pakikitungo at mabilis ang release.,positive
The office was clean and the process was orderly.,positive
Walang problema at mabilis natapos ang transaction.,positive
Helpful ang instructions at madaling intindihin.,positive
Professional and respectful ang service team.,positive
Maayos ang consultation at kumpleto ang impormasyon.,positive
I am happy with the service I received.,positive
Napakabilis ng process at very approachable ang staff.,positive
Okay lang naman ang naging transaction.,neutral
Normal lang ang waiting time at nakuha ko naman ang kailangan ko.,neutral
The service was acceptable but nothing stood out.,neutral
Sakto lang ang proseso at walang major problem.,neutral
Nakapag-submit ako ng requirements at natapos ang transaction.,neutral
Average lang ang experience ko sa office.,neutral
The staff provided the standard information needed.,neutral
Medyo matagal pero natapos din naman.,neutral
Maayos naman pero may ilang bahagi na puwedeng linawin.,neutral
The transaction was completed as expected.,neutral
Wala naman akong reklamo o espesyal na papuri.,neutral
It was fine and the process was routine.,neutral
Katamtaman lang ang bilis ng serbisyo.,neutral
The assistance was sufficient for my request.,neutral
Nakuha ko ang document sa itinakdang araw.,neutral
May pila pero gumagalaw naman.,neutral
The instructions were basic but usable.,neutral
Hindi mabilis pero hindi rin sobrang tagal.,neutral
The overall experience was neither good nor bad.,neutral
Sapat lang ang naging tulong sa akin.,neutral
The personnel answered only what I asked.,neutral
Okay ang facility at ordinary lang ang service.,neutral
I completed the process without any notable issue.,neutral
May konting delay pero manageable naman.,neutral
Standard procedure lang ang nangyari.,neutral
The service met the minimum expectation.,neutral
Walang problema pero maaari pang pagandahin.,neutral
Nakuha ko naman ang kailangan ko after waiting.,neutral
The transaction was average overall.,neutral
Sakto lang ang quality at response time.,neutral
Sobrang tagal bago ako naasikaso.,negative
Hindi malinaw ang instructions na ibinigay.,negative
Masungit at hindi helpful ang staff.,negative
Poor service and very long waiting time.,negative
Mabagal ang proseso at kulang ang impormasyon.,negative
Disappointed ako dahil hindi natapos ang transaction.,negative
The personnel were rude and unprofessional.,negative
Magulo ang queue at walang maayos na guidance.,negative
Hindi kumpleto ang dokumentong ibinigay sa akin.,negative
Very frustrating ang experience ko sa office.,negative
I waited for hours without a clear explanation.,negative
Walang sumasagot sa mga tanong ko.,negative
The service quality was poor and unreliable.,negative
Mahirap sundan ang proseso at paulit-ulit ang requirements.,negative
Hindi malinis ang facility at kulang ang upuan.,negative
The staff ignored my concern.,negative
Sobrang bagal at inefficient ng processing.,negative
Hindi ako satisfied sa overall service.,negative
May mali sa document at kailangan kong bumalik.,negative
Unclear ang steps at walang tumulong sa akin.,negative
The transaction was delayed without notice.,negative
Masama ang pakikitungo at hindi professional.,negative
Kulang ang assistance para sa senior citizen.,negative
I did not receive the service I needed.,negative
Napakahaba ng pila at walang sistema.,negative
Hindi accurate ang information na ibinigay.,negative
The office failed to resolve my request.,negative
Nakakadismaya ang mabagal at magulong proseso.,negative
No one explained why my request was rejected.,negative
Very poor client handling and delayed response.,negative
"Oks na oks yung service, bilis nmn nila.",positive
"Goods yung staff, mabait at maasikaso.",positive
"Ang bilis nmn dba, wala pang 10 mins tapos na.",positive
"Solid yung serbisyo, ty po sa assistance.",positive
"Ayos na ayos, di ako nahirapan sa process.",positive
"Mabilis lng pala, malinaw nmn yung instructions.",positive
"Galing ng staff, approachable sila fr.",positive
"Sobrang bait nila, thx po sa tulong.",positive
"Madali lng sundan yung steps, goods talaga.",positive
"Smooth nmn transaction ko, walang hassle.",positive
"Di nmn matagal, mabilis ako natawag.",positive
"Very accommodating sila, salamat po sobra.",positive
"Maayos nmn lahat, dba ganito dapat ang service.",positive
"Oks yung pila, mabilis gumalaw.",positive
"Ang linaw ng paliwanag, gets ko agad.",positive
"Fast and easy, walang arte yung proseso.",positive
Legit mabilis at organized yung office.,positive
"Sakto yung sistema, efficient at malinis.",positive
"Super helpful nung staff, naresolve agad concern ko.",positive
"Nakuha ko agad, ty sa mabilis na release.",positive
"Mabait nmn si kuya sa counter, maayos kausap.",positive
"Mabait nmn si ate, malinaw mag explain.",positive
"Ganda ng service, hindi nakaka-stress.",positive
"Ang bilis po, sana lahat ganito.",positive
"Nice one, kumpleto agad documents ko.",positive
"Very good nmn, wala akong naging problem.",positive
"Sulit yung punta ko, natapos agad request.",positive
"Okay na okay, responsive yung personnel.",positive
"Walang aberya, mabilis at smooth.",positive
"Mabilis kahit mdaming tao, impressive.",positive
"Kudos sa staff, very professional.",positive
"Maayos sila makitungo, di ka papabayaan.",positive
"Ambait ng mga staff, approachable lahat.",positive
Ang linis at ang ayos ng lugar.,positive
"Napaka convenient, saglit lng tapos na.",positive
Di ako nalito kc malinaw yung instructions.,positive
"Sobrang okay ng assistance, kumpleto info.",positive
"Grabe ang bilis, akala ko matatagalan ako.",positive
Perfect nmn yung handling nila sa clients.,positive
"Thank u po, mabilis at polite kayo.",positive
"Tnx po, naasikaso agad ako.",positive
"Tyvm, complete at accurate yung binigay.",positive
"Oks na oks po, mabait lahat.",positive
"Maganda nmn experience ko, walang reklamo.",positive
"Angas ng service, bilis at organized.",positive
Sana all offices ganito kabilis.,positive
"Walang sabit, diretso at malinaw.",positive
"Di nmn hassle, mabilis ma-process.",positive
"Masaya ako sa serbisyo, very satisfied.",positive
"Napabilis nila yung concern ko, salamat.",positive
Prompt reply at malinaw ang sagot.,positive
"Super bilis ng process, 10/10.",positive
"Friendly nmn sila, di nakaka-intimidate.",positive
Mabilis at maayos kahit walk-in lng.,positive
"Complete info, di na ko pabalik-balik.",positive
"Professional sila kausap, goods.",positive
"G na g tumulong yung staff, thank you.",positive
"Okay na okay yung consultation, malinaw lahat.",positive
"Very smooth, no hassle at all.",positive
Maikli pila at mabilis tawagin.,positive
Mabilis nmn sila magrespond sa tanong.,positive
"Di ako pinaghintay nang matagal, salamat.",positive
"Organized yung queue, mabilis kumilos.",positive
"Good job po, maayos yung client handling.",positive
"Malinis, mabilis, at courteous ang staff.",positive
"Best service so far, sobrang efficient.",positive
"Responsive at mababait, sulit talaga.",positive
"Mabilis yung transaction ko kanina, oks na oks.",positive
Approved agad at kumpleto ang instructions.,positive
"Sana ganito lagi, mabilis at maayos.",positive
"Oks lng nmn yung service, sakto lang.",neutral
"Pwede na, di maganda pero di rin pangit.",neutral
"Okay nmn, normal lng yung process.",neutral
"Sakto lng, may konting antay.",neutral
"Ganun lng nmn, natapos din.",neutral
"Di nmn sobrang bagal, di rin mabilis.",neutral
"Keri lng yung pila, manageable.",neutral
"Average lng, nothing special.",neutral
"Meh, okay lang naman.",neutral
"Ayos lng, standard procedure.",neutral
"Nakuha ko nmn kailangan ko, yun lng.",neutral
"Normal service, wala nmn issue.",neutral
May antay pero oks lng.,neutral
Sapat lng yung assistance.,neutral
Di ako natuwa pero di rin disappointed.,neutral
Fair nmn yung waiting time.,neutral
"Okay lng po, pwede pang improve.",neutral
Mid lng yung experience ko.,neutral
"So-so, natapos nmn transaction.",neutral
"Tamang service lng, walang wow factor.",neutral
"Wala lng, ordinary day sa office.",neutral
Sakto nmn yung bilis.,neutral
"Di masama, di rin impressive.",neutral
May konting delay lng pero okay.,neutral
Nakapag process nmn ako eventually.,neutral
Usual lang yung pila at procedure.,neutral
Okay yung staff pero medyo matagal.,neutral
Mabilis yung staff pero mahaba yung pila.,neutral
Malinis nmn pero ordinary yung service.,neutral
Maayos pero may kulang na info.,neutral
"Pwede na nmn, basic lang.",neutral
Di ko masabi kung good or bad.,neutral
"Keri nmn, natapos din after waiting.",neutral
Okay-ish yung overall experience.,neutral
May pila nmn pero gumagalaw.,neutral
"Saktuhan lang, walang problema.",neutral
"Not bad nmn, pero may room for improvement.",neutral
"Nakuha ko naman, medyo late lng.",neutral
Normal lang yung pakikitungo nila.,neutral
Sapat yung sagot pero maikli.,neutral
"Okay yung process, nothing more.",neutral
Di nmn confusing pero di rin super clear.,neutral
Minsan mabilis minsan mabagal.,neutral
"Basic service lng, acceptable.",neutral
Standard nmn yung quality.,neutral
"Walang major concern, minor delay lng.",neutral
"Okay po, no comment masyado.",neutral
"Pwede nmn, normal transaction.",neutral
Tapos nmn pero may ilang tanong pa ko.,neutral
Average yung client handling.,neutral
"Di nmn rude, di rin friendly.",neutral
"Oks ang lugar, sakto ang service.",neutral
May konting kalituhan pero naayos din.,neutral
Nakuha ko sa expected date.,neutral
"Okay lang, usual government transaction.",neutral
Kaya naman tiisin yung waiting time.,neutral
"Sakto lang po, thank you.",neutral
Neutral lng experience ko.,neutral
May improvement pero di pa perfect.,neutral
Maayos nmn pero medyo slow.,neutral
"Di gaanong mabilis, pero completed.",neutral
"Normal nmn lahat, no issue.",neutral
"Keri lang po, walang special.",neutral
"Not too bad, not too good.",neutral
Average response time lang.,neutral
"Oks lng yung instructions, basic.",neutral
Natapos din nmn kahit may antay.,neutral
May queue pero normal lang.,neutral
Sakto lang quality ng serbisyo.,neutral
"Pwede na for now, sana improve pa.",neutral
"Ambagal nmn, dba dapat mabilis to.",negative
"Sobrang tagal grabe, nakakainis.",negative
Di nmn maayos yung service.,negative
"Ndi malinaw yung instructions, nalito ako.",negative
"Hndi helpful yung staff, dedma lng.",negative
"Badtrip, ang haba ng pila.",negative
"Waley yung assistance, walang tumulong.",negative
"Pangit nmn ng sistema, magulo.",negative
Luh ang sungit nung nasa counter.,negative
"Kupal kausap yung staff, unprofessional.",negative
"Ang bagaaal ng process, ilang oras ako naghintay.",negative
Sobrang labo ng instructions.,negative
"Di ako naasikaso, sayang oras.",negative
"Kulang kulang yung info, pabalik balik tuloy.",negative
"Grabe nmn delay, walang update.",negative
"Walang kwenta yung pila, walang sistema.",negative
"Nakaka stress yung process, ang gulo.",negative
"Super disappointed, di naresolve concern ko.",negative
"Ang rude nung staff, di marunong makitungo.",negative
"Walang sumasagot, parang invisible kami.",negative
"Matagal na nga, mali pa yung document.",negative
Di accurate yung binigay na information.,negative
Nagmamadali yung staff at di nakikinig.,negative
"Sana ayusin nyo, sobrang hassle.",negative
Ang panget ng client handling.,negative
Mabagal kc kulang yata tao.,negative
"Di ko gets yung process, walang guide.",negative
"Puro hintay, wala namang progress.",negative
"Laging pabalik balik, sayang pamasahe.",negative
"Hassle sobra, di organized.",negative
"Masungit nmn sila, simpleng tanong lang.",negative
"Ang init at sikip, kulang upuan.",negative
Wala man lang malinaw na announcement.,negative
Na reject request ko nang walang explanation.,negative
Di nmn fair yung pag handle sa clients.,negative
Tagal tagal tapos incomplete pa.,negative
"Nakakainis, mali mali instructions.",negative
Di responsive kahit ilang follow-up na.,negative
"Poor talaga, di professional.",negative
Ang gulo gulo ng queue.,negative
"Daming arte sa requirements, paulit ulit.",negative
Walang coordination yung staff.,negative
Sobrang sungit ni ate sa window.,negative
"Masungit si kuya, ayaw sumagot.",negative
Ndi ko nakuha yung kailangan ko.,negative
Hndi natapos transaction ko today.,negative
"Ang tagaaal, halos buong araw.",negative
"Bad service, never again.",negative
"Nakakadismaya sobra, sayang oras.",negative
Di man lang nag sorry sa delay.,negative
Walang concern sa senior at PWD.,negative
Rude at dismissive yung personnel.,negative
Di nila alam sagot sa tanong ko.,negative
Paiba iba sila ng instructions.,negative
Mali yung pangalan sa document ko.,negative
Kulang yung document na nirelease.,negative
Sobrang inefficient ng process.,negative
Di maayos yung appointment system.,negative
Late nagbukas yung counter.,negative
"Ang haba ng waiting time, no explanation.",negative
Walang maayos na seating area.,negative
"Pangit ng experience, di ko nagustuhan.",negative
"Tsk, ambagal talaga nila.",negative
"Sus, wala na namang staff sa counter.",negative
Di nmn sila approachable.,negative
Ang cold at rude ng response.,negative
"Hindi ako satisfied, sobrang kulang.",negative
Nainis ako kc walang update.,negative
Sana naman ayusin ang proseso.,negative
"Worst service, sobrang hassle.",negative
