visit_date,sex,age,client_type,service_received,timeliness,client_handling,quality_of_service,overall_satisfaction,comment,label
2026-07-20,Female,60,Pasigueño,Maternal health consultation,4,3,2,3,"Acceptable naman yung service para sa akin. Okay naman yung customer handling, pero medyo mahina yung boses sa pagtawag ng number. May konting inconvenience pero natapos din naman.",neutral
2026-01-08,Male,44,Pasigueño,Vital signs screening,4,4,3,4,Maayos at organized yung naging service. Straightforward yung process at walang confusing na instruction. Maayos sumagot yung staff sa mga tanong ko. Okay na okay para sa akin.,positive
2026-04-09,Female,46,Pasigueño,Laboratory request,3,4,3,4,Pleasant naman yung naging experience ko. Mabilis nila na-process yung request ko. Overall smooth at convenient.,positive
2026-04-21,Female,41,Non-Pasigueño,Medical consultation,4,3,2,3,"May good parts naman yung service pero may konting inconvenience. Nung nag-process ako ng family planning consultation, hindi agad malinaw kung saan kukunin yung form, pero natapos din naman at nakuha ko naman agad yung tamang form. Okay naman basta may konting improvement.",neutral
2026-03-18,Male,62,City Government Employee,Vital signs screening,4,3,4,4,Kompleto yung information na binigay sa counter. Responsive yung staff kapag may clarification. Babalik ako nang hindi nag-aalala kung kailangan ulit.,positive
2026-06-21,Female,41,Non-Pasigueño,Pharmacy/medicine assistance,3,3,3,3,"Para sa clearance request, polite naman yung staff, kaso may konting kalituhan sa sequence ng pila. May konting inconvenience pero natapos din naman.",neutral
2026-02-15,Female,29,Pasigueño,Health card/clearance,3,4,3,4,Maaga akong natapos kaya okay yung experience ko. Hindi ako kinailangang magtanong nang paulit-ulit. Maayos sumagot yung staff sa mga tanong ko. Nakakagaan kapag ganito kaayos yung serbisyo.,positive
2026-04-04,Female,51,Pasigueño,Wound care/dressing,3,3,4,3,"Polite naman yung staff at natapos naman yung kailangan ko. Ang napansin ko lang, medyo masikip lang sa waiting area. May konting inconvenience pero natapos din naman.",neutral
2026-07-04,Male,36,Non-Pasigueño,Medical consultation,4,4,4,4,"Para sa vaccine process, maayos ang pila at mabilis yung galaw sa counter. Hindi ako kinailangang magtanong nang paulit-ulit. Sana ganito lagi yung serbisyo.",positive
2026-07-07,Male,35,Pasigueño,Vital signs screening,2,3,2,2,Kulang sa organization yung naging process. Walang maayos na direction kung ano yung next step. Mas okay sana kung may malinaw na queue at proper guidance.,negative
2026-06-29,Male,34,Pasigueño,Medical consultation,4,3,4,4,"Naging convenient yung process para sa akin. Mabilis nila na-process yung request ko. Overall, satisfied ako.",positive
